Sample,Noise_Reduction_dB
Sample_001,12.40123150033047
Sample_002,9.985872850040682
Sample_003,3.9147786321428417
Sample_004,13.438625670158693
Sample_005,15.445711584455172
Sample_006,11.611838073295711
Sample_007,13.040526097353112
Sample_008,15.046157886641735
Sample_009,12.88205581603038
Sample_010,14.992061756999709
Sample_011,10.16712367204067
Sample_012,8.205547442256126
Sample_013,15.261326870785785
Sample_014,6.6367929824668215
Sample_015,9.47667806772167
Sample_016,9.510412141434717
Sample_017,12.617386305690781
Sample_018,12.131901496153061
Sample_019,11.231196412264273
Sample_020,2.5685253027026276
Sample_021,8.971183500701562
Sample_022,16.437815210433975
Sample_023,20.76640368343711
Sample_024,20.409432993793946
Sample_025,13.263308838663498
Sample_026,12.664583926944415
Sample_027,13.95101466283207
Sample_028,10.854951946402576
Sample_029,10.962694074481982
Sample_030,12.186307243457
Sample_031,15.861484747680512
Sample_032,15.24514184104299
Sample_033,20.14260797829014
Sample_034,1.6228284521320053
Sample_035,16.01382282922675
Sample_036,21.13210944316656
Sample_037,21.245598377937263
Sample_038,18.74190518674467
Sample_039,16.810578808964923
Sample_040,16.438094814157044
Sample_041,12.454725658187149
Sample_042,18.688680725880452
Sample_043,15.397076983565803
Sample_044,15.37265090181474
Sample_045,19.300210243262956
Sample_046,7.354642715288726
Sample_047,15.025546138579184
Sample_048,14.73422076498567
Sample_049,13.057305950152028
Sample_050,16.659666008918588
Sample_051,14.064011598728497
Sample_052,15.07381462833515
Sample_053,8.800542591227916
Sample_054,10.966099766284298
Sample_055,19.08753171608017
Sample_056,12.81080732925274
Sample_057,6.7126015121973435
Sample_058,6.995311110505428
Sample_059,14.17876339004588
Sample_060,15.90258419654325
Sample_061,14.423587065259314
Sample_062,12.080424755477047
Sample_063,15.62168934177284
Sample_064,11.353339718169789
Sample_065,14.899720973158246
Sample_066,2.52857146229391
Sample_067,14.401300387285836
Sample_068,18.17699786239791
Sample_069,15.56641870329143
Sample_070,15.53433307569871
Sample_071,-3.957580090285138
Sample_072,14.708262542779103
Sample_073,11.547272910170982
Sample_074,8.808892994090238
Sample_075,9.189390403066186
Sample_076,14.218187824651324
Sample_077,4.410611570916203
Sample_078,7.969095371979119
Sample_079,9.418417880596
Sample_080,12.703018482228703
Sample_081,10.71571792940796
Sample_082,7.385460046487142
Sample_083,4.7697396007834705
Sample_084,6.202771818648694
Sample_085,12.163719681801313
Sample_086,11.129694613029885
Sample_087,9.239457778249964
Sample_088,11.951667782544641
Sample_089,7.989208871153746
Sample_090,10.556225673531088
Sample_091,8.834099486029226
Sample_092,12.120892649581736
Sample_093,12.852685190011586
Sample_094,17.578799272542533
Sample_095,6.481503438092023
