Sample,Noisy_STOI,Enhanced_STOI,STOI_Improvement
Sample_001,0.5898975034627804,0.7516965361732052,0.16179903271042484
Sample_002,0.47080984302670553,0.7087789659075443,0.23796912288083877
Sample_003,0.6116747055471226,0.7580406411741367,0.14636593562701417
Sample_004,0.5357414889195448,0.8122765445742988,0.276535055654754
Sample_005,0.4863571661065065,0.8487459015222657,0.3623887354157592
Sample_006,0.5107739311144409,0.7877870978551738,0.27701316674073284
Sample_007,0.517004308662524,0.8435211209547377,0.32651681229221374
Sample_008,0.5007764103905724,0.7392883672222802,0.23851195683170778
Sample_009,0.5021277823358222,0.7304313993402073,0.22830361700438506
Sample_010,0.6042628647266908,0.7692019611392438,0.164939096412553
Sample_011,0.5347868359281728,0.8047897829760383,0.27000294704786554
Sample_012,0.48018523804567964,0.7737126672108993,0.2935274291652196
Sample_013,0.49230073996914264,0.7035716706632759,0.21127093069413322
Sample_014,0.40808309382494184,0.8144188735384936,0.4063357797135518
Sample_015,0.4084027742139103,0.7522462662715927,0.34384349205768244
Sample_016,0.40842943434351303,0.742121680493992,0.33369224615047893
Sample_017,0.38948021882547457,0.7048182706884304,0.3153380518629558
Sample_018,0.596857899020954,0.8144026842592034,0.21754478523824938
Sample_019,0.607372734853005,0.7773382045978006,0.16996546974479554
Sample_020,0.4224973674882904,0.6242121288689001,0.20171476138060968
Sample_021,0.5802447328027258,0.7785302099867235,0.1982854771839977
Sample_022,0.40458509114714347,0.73268615676905,0.32810106562190655
Sample_023,0.7972021813064109,0.7886681527060148,-0.008534028600396093
Sample_024,0.7407992512413523,0.8792556339799918,0.13845638273863958
Sample_025,0.5138038363625249,0.6619121042398751,0.1481082678773502
Sample_026,0.5295269103911141,0.6697032552051826,0.1401763448140685
Sample_027,0.6604939863843317,0.7609895274489683,0.10049554106463665
Sample_028,0.6106370003953079,0.7719533537049882,0.1613163533096803
Sample_029,0.5947722061484018,0.7859244522616172,0.19115224611321546
Sample_030,0.44118142296653906,0.8195030064255269,0.3783215834589878
Sample_031,0.41435886378129483,0.826830325645233,0.4124714618639381
Sample_032,0.5454034588035802,0.7088449118618827,0.1634414530583025
Sample_033,0.7030211716882184,0.789621458579597,0.08660028689137855
Sample_034,0.45518100688307184,0.7559315068685462,0.3007504999854743
Sample_035,0.5749231514478431,0.8197851659663207,0.24486201451847756
Sample_036,0.8174949030961784,0.8875093685000809,0.07001446540390244
Sample_037,0.5892526496625001,0.7909181159161054,0.20166546625360526
Sample_038,0.6540333855011718,0.7967745958460573,0.1427412103448854
Sample_039,0.6456038832402397,0.7596909144297656,0.1140870311895259
Sample_040,0.6240320139270168,0.7380673624206396,0.11403534849362285
Sample_041,0.6580645362055366,0.7876202620192099,0.12955572581367325
Sample_042,0.5936668651596154,0.7445032131521492,0.15083634799253376
Sample_043,0.588454556072049,0.7628073237186023,0.17435276764655327
Sample_044,0.4692031068354813,0.6577070616659012,0.18850395483041993
Sample_045,0.6250644876187208,0.7319947082232918,0.10693022060457102
Sample_046,0.5770430489343978,0.7862366128691288,0.20919356393473099
Sample_047,0.45262078195443356,0.7793629707857082,0.3267421888312746
Sample_048,0.40929988230576847,0.8022814133244284,0.3929815310186599
Sample_049,0.49637466947776226,0.87725543758616,0.3808807681083977
Sample_050,0.47561094653013075,0.7408801895379332,0.26526924300780247
Sample_051,0.48605397656623556,0.7464782404381946,0.260424263871959
Sample_052,0.4891491075539612,0.6911320965779182,0.201982989023957
Sample_053,0.4188762181046358,0.7452722104353718,0.326395992330736
Sample_054,0.6178109094960366,0.7613520808940143,0.14354117139797773
Sample_055,0.6758408096288522,0.7521581939793393,0.07631738435048707
Sample_056,0.48869764760308104,0.8378738803587309,0.34917623275564985
Sample_057,0.5692813666922724,0.7926427425362131,0.22336137584394078
Sample_058,0.5566020187530599,0.7822620050204881,0.22565998626742823
Sample_059,0.5262227188276439,0.7310188035792049,0.20479608475156097
Sample_060,0.5487900664564849,0.7796191051150683,0.2308290386585834
Sample_061,0.6105950408066486,0.7052137496572248,0.09461870885057622
Sample_062,0.4904923310732168,0.8736156167063928,0.38312328563317594
Sample_063,0.5342240360575228,0.8192285116912615,0.28500447563373876
