Sample,Noisy_PESQ,Enhanced_PESQ,PESQ_Improvement
Sample_001,1.0649508237838745,1.2989846467971802,0.23403382301330566
Sample_002,1.0851812362670898,1.3036781549453735,0.2184969186782837
Sample_003,1.1221404075622559,1.457492709159851,0.3353523015975952
Sample_004,1.0371956825256348,1.0719505548477173,0.03475487232208252
Sample_005,1.0374892950057983,1.1701503992080688,0.1326611042022705
Sample_006,1.025736689567566,1.1419910192489624,0.11625432968139648
Sample_007,1.022240400314331,1.0649725198745728,0.0427321195602417
Sample_008,1.0262023210525513,1.0607116222381592,0.03450930118560791
Sample_009,1.0237981081008911,1.1001986265182495,0.0764005184173584
Sample_010,1.0228722095489502,1.0990562438964844,0.07618403434753418
Sample_011,1.0298357009887695,1.0801891088485718,0.050353407859802246
Sample_012,1.058336615562439,1.1909494400024414,0.13261282444000244
Sample_013,1.0566335916519165,1.1292340755462646,0.07260048389434814
Sample_014,1.3917986154556274,1.122126817703247,-0.26967179775238037
Sample_015,1.0497267246246338,1.1198478937149048,0.070121169090271
Sample_016,1.0999808311462402,1.2194026708602905,0.11942183971405029
Sample_017,1.0629239082336426,1.4124842882156372,0.34956037998199463
Sample_018,1.032261848449707,1.1969249248504639,0.16466307640075684
Sample_019,1.0549328327178955,1.2980084419250488,0.24307560920715332
Sample_020,1.0386170148849487,1.1536964178085327,0.11507940292358398
Sample_021,1.0255169868469238,1.1458795070648193,0.12036252021789551
Sample_022,1.0363402366638184,1.1475346088409424,0.11119437217712402
Sample_023,1.265085220336914,1.1013736724853516,-0.1637115478515625
Sample_024,1.3415504693984985,1.2530264854431152,-0.0885239839553833
Sample_025,1.0852125883102417,1.1329684257507324,0.04775583744049072
Sample_026,1.082716703414917,1.3310883045196533,0.24837160110473633
Sample_027,1.042075753211975,1.1693236827850342,0.12724792957305908
Sample_028,1.050336241722107,1.2839319705963135,0.23359572887420654
Sample_029,1.277451515197754,1.3033204078674316,0.025868892669677734
Sample_030,1.037161946296692,1.1161994934082031,0.07903754711151123
Sample_031,1.0365238189697266,1.1047308444976807,0.0682070255279541
Sample_032,1.0323905944824219,1.1906224489212036,0.15823185443878174
Sample_033,1.1275678873062134,1.3275741338729858,0.20000624656677246
Sample_034,1.0529881715774536,1.1101676225662231,0.05717945098876953
Sample_035,1.0499346256256104,1.1129169464111328,0.06298232078552246
Sample_036,1.0989811420440674,1.3699809312820435,0.2709997892379761
Sample_037,1.5924670696258545,1.1518343687057495,-0.440632700920105
Sample_038,1.1442105770111084,1.2022652626037598,0.05805468559265137
Sample_039,1.0760498046875,1.222051978111267,0.1460021734237671
Sample_040,1.0736807584762573,1.1308283805847168,0.05714762210845947
Sample_041,1.0383996963500977,1.2834162712097168,0.24501657485961914
Sample_042,1.0636342763900757,1.589735984802246,0.5261017084121704
Sample_043,1.0564851760864258,1.368337869644165,0.31185269355773926
Sample_044,1.1187430620193481,1.2280136346817017,0.10927057266235352
Sample_045,1.0460742712020874,1.0537747144699097,0.007700443267822266
Sample_046,1.0868147611618042,1.272648811340332,0.18583405017852783
Sample_047,1.1313296556472778,1.1813911199569702,0.05006146430969238
Sample_048,1.1163341999053955,1.116308569908142,-2.562999725341797e-05
Sample_049,1.0246788263320923,1.085951805114746,0.06127297878265381
Sample_050,1.0344502925872803,1.1323118209838867,0.09786152839660645
Sample_051,1.0396634340286255,1.0958137512207031,0.05615031719207764
Sample_052,1.0265675783157349,1.1141612529754639,0.087593674659729
Sample_053,1.062536358833313,1.1370601654052734,0.07452380657196045
Sample_054,1.049877643585205,1.3092931509017944,0.25941550731658936
Sample_055,1.0438809394836426,1.377314567565918,0.3334336280822754
Sample_056,1.0461266040802002,1.2241523265838623,0.1780257225036621
Sample_057,1.0461353063583374,1.2722010612487793,0.2260657548904419
Sample_058,1.020682454109192,1.1245899200439453,0.10390746593475342
Sample_059,1.033583164215088,1.0754786729812622,0.041895508766174316
Sample_060,1.0706251859664917,1.1128425598144531,0.042217373847961426
Sample_061,1.1028110980987549,1.1764953136444092,0.0736842155456543
Sample_062,1.0304447412490845,1.128280520439148,0.09783577919006348
Sample_063,1.0671429634094238,1.1230084896087646,0.05586552619934082
Sample_064,1.044167399406433,1.1140388250350952,0.06987142562866211
Sample_065,1.1246495246887207,1.0900475978851318,-0.03460192680358887
Sample_066,1.3410181999206543,1.114830732345581,-0.22618746757507324
Sample_067,1.0454901456832886,1.1232645511627197,0.07777440547943115
Sample_068,1.0651404857635498,1.0831228494644165,0.0179823637008667
Sample_069,1.3557227849960327,1.1862374544143677,-0.16948533058166504
Sample_070,1.0695006847381592,1.0852006673812866,0.01569998264312744
Sample_071,1.08135986328125,1.043601155281067,-0.037758708000183105
Sample_072,1.10185706615448,1.1216081380844116,0.01975107192993164
Sample_073,1.1700475215911865,1.1333043575286865,-0.0367431640625
Sample_074,1.0626453161239624,1.140037178993225,0.0773918628692627
Sample_075,1.0404558181762695,1.4885504245758057,0.44809460639953613
Sample_076,1.0498160123825073,1.3854296207427979,0.3356136083602905
Sample_077,1.115475058555603,1.1046565771102905,-0.0108184814453125
